38 26
8 14
100 50
40 0 1
72 33 0
57 17 0
57 45 1
49 27 1
46 26 1
44 8 0
30 13 0
99 44 0
39 31 0
39 50 1
37 41 1
29 24 0
87 47 0
39 15 0
35 31 1
17 5 1
24 14 1
35 7 0
84 27 1
35 14 1
84 10 0
39 36 0
39 26 0
18 42 0
75 14 1
42 2 0
45 15 0
50 10 1
43 23 1
8 7 0
10 20 1
40 14 0
90 49 0
31 0 0
49 50 0
83 32 0
34 19 1
46 37 0
34 15 0
89 44 0
35 42 0
60 41 1
65 27 1
49 12 0
29 30 0
51 46 0
68 49 1
11 8 0
59 29 1
17 33 0
68 27 1
21 20 1
52 31 0
22 13 0
52 18 1
11 21 0
76 50 1
86 12 1
93 42 0
92 27 1
62 44 0
78 15 1
97 21 1
25 50 0
97 29 0
28 19 0
88 32 0
53 18 0
26 42 0
37 16 1
56 39 1
96 1 0
75 6 0
5 18 1
6 34 1
50 36 0
58 17 1
21 2 0
20 6 1
92 38 1
67 44 0
41 23 0
34 23 1
12 25 1
38 34 1
62 31 0
10 45 1
13 7 1
78 43 1
56 14 1
56 35 0
29 39 1
49 33 0
84 46 1
65 30 0
75 19 0
1 41 0
84 40 1
19 4 0
49 29 0
81 19 1
95 8 1
97 36 0
86 25 0
94 27 0
71 45 0
95 31 0
13 48 0
37 44 0
0 10 0
54 35 1
68 14 0
99 28 0
51 39 1
3 30 0
30 4 0
91 42 1
26 41 0
30 20 0
75 10 1
72 20 0
94 14 1
38 45 1
46 43 1
15 21 0
52 22 1
100 7 0
19 0 0
88 36 1
40 50 1
22 2 1
98 28 1
36 43 0
98 22 1
91 11 0
34 42 0
13 28 0
89 46 1
16 8 1
37 11 0
83 48 1
7 33 1
70 38 1
90 20 0
34 36 0
9 29 0
45 18 0
39 11 1
71 50 0
94 36 0
25 14 1
86 21 0
40 1 0
6 26 1
29 17 1
78 43 1
58 46 0
30 10 0
93 38 1
61 5 1
20 28 1
12 21 1
15 15 0
49 49 0
19 36 1
66 2 1
75 25 1
81 38 0
95 40 1
10 38 1
31 15 0
63 46 1
86 3 0
98 21 1
85 28 1
86 50 0
44 34 0
33 40 1
43 47 0
0 42 0
55 37 0
7 20 1
59 0 1
90 12 0
4 10 1
11 19 0
43 26 0
18 49 0
75 47 1
15 47 0
73 28 0
