26 36
13 11
100 50
81 8 0
93 27 0
8 41 0
45 39 1
99 16 0
27 46 1
30 29 1
50 6 0
71 39 0
64 33 1
35 26 1
78 8 0
12 3 1
15 13 0
57 41 1
85 46 0
30 11 0
26 40 0
83 12 1
86 22 0
43 7 1
50 18 1
17 30 0
11 27 1
51 37 0
10 48 1
68 17 1
56 10 0
23 8 1
11 11 0
78 23 0
76 39 1
90 2 0
77 10 0
39 3 1
71 22 0
82 16 0
31 0 1
47 31 0
91 1 0
97 9 1
55 44 1
14 46 1
63 13 1
43 46 0
34 0 1
48 24 0
85 33 0
42 27 1
97 35 0
25 1 0
26 0 0
42 20 1
32 29 1
89 33 0
26 2 1
99 41 0
1 50 0
5 38 1
4 1 1
46 33 1
10 9 0
18 11 0
23 47 1
33 8 1
59 37 1
29 25 1
80 35 1
92 44 1
14 13 0
62 35 0
46 6 0
67 4 1
12 37 1
83 37 0
63 15 1
85 20 1
43 23 0
87 23 1
36 26 0
62 37 0
52 10 0
12 27 0
9 5 0
53 27 1
39 29 0
79 15 1
51 13 0
45 44 1
5 9 1
77 36 0
56 18 0
84 16 0
26 14 1
75 38 0
72 41 1
31 12 1
73 8 0
44 13 0
38 42 1
74 35 0
24 39 1
96 35 0
22 44 0
41 50 0
88 15 0
94 21 1
58 18 1
77 47 0
43 35 0
30 36 1
93 43 1
60 6 0
65 24 0
54 44 0
46 41 1
66 2 1
48 27 1
71 21 1
33 23 1
41 4 1
58 38 0
33 28 0
42 23 1
96 33 0
53 12 0
29 31 1
66 2 0
26 18 1
40 18 0
30 40 1
63 50 0
41 21 0
1 36 1
80 15 0
79 22 1
42 50 1
90 41 0
7 39 1
55 11 0
84 27 1
7 23 0
72 26 0
4 31 0
65 36 0
74 6 0
51 0 0
26 8 0
5 46 0
69 45 0
96 48 0
29 2 1
47 8 1
90 3 1
13 16 1
47 48 0
4 39 0
92 14 1
59 24 1
55 44 0
36 18 1
39 41 0
2 50 0
86 33 1
10 48 1
61 45 1
37 2 0
42 1 0
53 16 1
70 17 1
1 30 1
14 9 0
80 48 0
13 22 1
33 9 0
36 19 1
54 2 0
21 42 1
70 14 0
65 40 0
92 27 1
12 45 0
37 37 1
4 6 0
77 26 0
41 4 0
62 24 0
75 12 1
23 29 1
12 50 0
77 13 0
46 5 1
97 9 0
74 13 1
14 21 1
80 32 1
78 40 0
85 20 0
11 18 0
50 15 0
46 30 0
62 3 0
51 19 0
30 12 0
81 32 0
41 19 1
32 40 0
16 20 0
57 18 1
57 5 0
29 15 1
78 35 1
84 25 0
40 25 0
39 32 0
88 2 0
88 5 1
64 47 1
7 4 1
69 0 1
10 30 1
81 46 0
3 31 0
86 11 1
44 32 0
47 39 1
59 26 1
23 44 1
28 9 1
7 46 0
49 22 0
2 31 0
0 17 1
65 19 0
20 6 1
18 19 1
39 45 1
70 4 1
8 20 1
99 17 1
5 45 1
52 6 1
93 14 0
98 50 1
78 47 0
29 43 1
51 0 1
92 28 1
46 43 0
73 36 0
13 46 1
70 32 0
44 34 0
71 6 0
56 16 0
55 42 0
92 21 0
23 0 1
35 34 0
26 47 0
50 41 1
34 17 1
14 50 1
58 10 1
77 34 1
41 8 1
90 41 0
61 32 1
80 9 1
48 34 0
25 50 0
18 27 1
54 34 1
18 26 0
25 1 1
36 30 0
81 10 1
30 27 1
84 17 1
23 38 0
83 23 0
28 9 1
76 50 0
75 8 1
15 34 0
14 24 0
61 5 1
50 32 0
22 36 1
88 32 0
51 36 0
1 17 1
96 30 0
31 28 1
39 0 1
4 43 1
39 45 1
75 49 0
48 1 1
5 18 0
43 31 1
47 49 1
51 16 0
17 6 0
82 22 0
11 30 0
