62 3
49 22
100 50
15 20 0
27 19 1
23 16 1
8 10 0
62 0 1
41 5 1
57 46 0
74 41 1
72 6 0
51 4 0
5 1 0
50 8 1
53 30 0
78 3 0
38 46 1
29 0 0
29 19 0
62 3 0
48 17 0
31 46 1
2 19 0
4 4 1
42 7 0
24 40 1
87 36 1
86 10 0
78 26 0
64 12 1
14 24 0
6 34 1
1 17 0
22 37 1
83 40 1
88 7 1
78 1 0
79 49 1
27 35 1
31 41 0
34 16 0
71 11 1
36 38 1
83 50 1
93 23 1
29 28 1
92 39 0
17 37 1
43 35 1
46 35 0
50 35 1
1 10 0
12 2 0
37 30 1
64 16 0
34 26 0
73 27 1
94 10 0
9 24 0
32 17 0
39 10 0
23 25 1
8 39 1
47 31 0
5 39 1
18 5 0
12 46 1
62 12 1
42 26 0
52 8 0
21 44 1
98 43 0
79 25 1
87 37 0
57 13 1
15 39 0
40 40 0
61 35 0
58 50 0
78 45 1
17 48 1
53 44 1
87 48 0
33 8 0
29 43 0
40 7 1
65 49 1
51 34 0
72 33 0
30 20 1
74 3 0
68 50 1
13 9 1
39 16 1
89 8 1
71 22 1
72 12 1
95 38 1
54 30 0
62 15 0
28 9 1
44 24 0
9 16 1
53 14 1
88 18 1
11 45 0
20 35 1
56 28 1
11 40 0
37 40 1
87 46 0
81 47 0
100 27 0
89 39 0
90 36 0
15 29 0
21 3 1
59 39 1
68 42 0
20 23 0
44 34 0
56 29 1
91 36 0
80 19 1
80 36 1
13 7 0
7 38 1
88 2 0
66 41 0
51 33 1
43 14 0
92 33 1
28 11 1
74 8 0
52 13 0
83 44 1
67 38 1
100 35 1
9 2 1
18 39 0
42 8 1
73 27 0
49 44 1
39 11 0
66 16 1
14 22 0
41 48 0
93 11 1
56 43 1
17 30 1
74 39 0
9 22 1
10 0 0
81 7 1
79 15 1
46 39 1
84 33 0
4 36 1
15 43 1
12 34 1
90 18 0
79 16 0
99 23 1
67 10 1
0 4 0
77 17 0
89 39 1
36 17 0
6 44 0
32 8 0
52 25 1
80 45 1
85 0 1
24 1 0
26 32 0
18 50 1
27 40 1
93 25 1
45 49 0
2 6 0
74 16 0
