1 30
28 6
100 50
49 4 0
3 43 1
9 2 0
21 16 1
100 14 1
78 7 1
73 43 1
14 9 0
39 43 1
33 22 1
49 31 1
54 21 0
10 23 0
32 10 1
30 13 1
58 22 0
22 47 0
29 49 0
57 47 0
21 21 1
92 2 0
91 36 0
27 11 0
48 50 1
59 19 0
54 19 0
58 21 1
41 37 1
20 45 0
92 43 1
70 23 1
68 33 0
76 5 0
49 16 1
31 0 0
52 37 0
23 25 0
76 12 0
67 28 0
4 12 0
23 18 1
88 9 1
17 40 1
88 23 0
35 0 0
72 23 0
29 5 0
64 21 0
91 3 1
56 48 0
97 3 0
80 23 1
42 22 0
11 29 0
6 30 1
24 27 0
45 33 1
27 22 0
86 22 1
52 23 1
94 1 1
44 41 0
16 18 1
29 22 1
2 0 0
66 47 0
50 2 1
72 39 0
35 15 1
8 23 1
36 10 1
12 26 0
46 43 0
25 5 1
86 2 0
88 36 1
100 14 0
19 15 0
19 14 1
51 8 1
29 13 1
3 25 1
53 32 1
12 43 1
9 8 0
9 0 1
51 42 0
73 31 0
18 41 1
14 25 1
26 9 1
95 48 1
64 32 1
24 29 1
13 30 0
11 22 0
6 48 0
42 41 0
49 1 0
27 23 0
45 22 0
52 28 1
76 39 0
35 7 1
12 21 1
62 26 1
65 6 1
44 23 0
11 32 0
85 19 1
55 37 0
35 7 1
52 19 1
80 45 1
73 7 1
48 11 0
76 6 0
39 29 1
58 45 0
65 4 0
89 22 0
29 21 1
51 10 1
80 44 1
60 39 1
66 20 1
81 26 0
23 31 0
56 0 0
68 9 1
97 2 1
100 35 0
0 26 0
55 37 1
46 13 0
84 32 0
0 20 1
91 48 0
90 42 1
70 31 0
13 10 1
90 34 1
55 46 1
14 49 0
25 50 1
26 28 0
8 41 1
49 47 1
56 25 1
86 24 1
67 12 1
37 41 1
94 48 1
11 2 1
70 2 0
26 50 0
44 7 0
41 13 0
73 23 1
44 17 1
72 50 0
68 8 1
93 23 1
59 50 1
77 21 0
97 30 0
76 49 1
