57 31
89 11
100 50
87 35 0
66 7 0
86 18 1
51 31 0
28 28 1
56 39 0
21 24 0
19 7 1
56 22 0
34 45 0
56 17 1
38 15 1
75 33 0
30 35 1
100 33 0
23 33 0
69 22 1
22 37 0
16 9 1
3 1 1
74 19 0
68 19 0
8 14 0
43 27 0
72 8 1
55 16 1
88 0 1
27 38 0
80 44 0
26 22 1
62 7 1
27 37 1
75 21 1
3 35 1
64 30 0
49 24 1
33 17 1
77 27 0
92 25 0
19 20 1
48 36 1
55 29 1
25 25 0
75 30 0
54 0 0
48 2 0
84 12 0
64 9 1
16 30 0
10 50 1
11 21 0
26 2 0
95 4 1
72 28 0
47 8 1
57 50 1
15 8 1
31 29 1
35 25 1
64 26 1
18 19 0
3 17 0
24 35 0
30 26 0
16 21 1
71 19 0
8 10 0
61 6 0
12 28 1
72 37 1
63 7 1
16 49 1
20 44 1
97 32 0
78 19 1
19 17 1
70 50 1
93 18 1
63 43 0
64 14 0
62 25 0
34 23 0
69 24 1
77 4 0
11 17 0
96 33 1
76 24 0
65 41 0
48 12 1
98 0 0
71 16 1
44 1 1
76 18 1
24 40 1
1 33 0
89 21 0
39 13 1
56 30 0
37 38 0
23 14 1
18 37 0
63 30 0
11 17 0
23 10 0
91 12 1
29 1 0
71 16 0
3 41 0
91 5 1
47 9 1
23 7 1
26 7 1
47 31 1
94 25 1
36 41 1
15 19 0
73 13 0
78 23 1
23 10 0
38 10 1
89 44 1
43 8 1
58 46 1
32 25 0
45 5 1
64 49 1
18 14 0
53 17 0
78 42 1
32 3 1
38 4 0
45 25 1
7 42 0
87 5 0
27 29 0
7 8 0
45 10 1
6 30 1
18 16 1
62 48 1
89 0 0
90 25 1
91 14 0
57 37 0
5 39 0
14 22 1
70 23 1
38 49 1
88 20 0
72 7 1
70 44 0
38 23 0
52 15 0
87 22 1
45 10 0
27 36 1
43 37 1
17 0 1
3 50 1
2 10 0
23 11 1
20 43 0
88 46 1
2 10 1
59 20 1
36 39 1
84 31 0
20 14 1
13 4 0
53 6 1
62 23 0
35 3 1
95 19 1
64 9 1
59 12 0
75 16 1
58 3 1
17 28 1
55 1 0
38 46 0
48 14 0
3 17 1
79 5 0
63 20 1
35 24 1
33 43 1
96 13 0
33 40 0
42 22 0
78 31 0
34 45 1
86 19 1
46 46 0
90 5 0
99 48 0
16 5 1
59 21 0
94 29 0
14 9 0
83 50 1
23 41 0
75 6 1
32 8 0
6 38 0
25 27 0
86 15 0
69 25 1
95 7 0
9 24 1
38 29 1
94 0 1
85 6 1
64 10 0
88 12 1
1 1 0
17 7 0
84 18 1
42 35 0
50 24 0
13 16 0
83 18 1
23 5 0
90 30 1
63 17 0
40 32 0
22 4 0
20 47 0
77 17 0
72 49 0
85 42 0
80 14 0
43 21 0
90 33 1
91 49 1
60 9 1
33 33 1
87 34 0
57 50 1
98 23 0
62 46 1
33 25 0
15 34 1
17 39 0
63 47 0
42 48 1
58 37 1
75 28 0
45 16 0
0 5 0
7 18 1
73 30 1
36 47 1
58 25 0
60 47 0
75 37 1
73 28 0
97 13 1
21 18 0
73 26 1
85 27 1
91 2 1
52 26 1
22 48 0
84 25 0
45 14 0
4 38 0
86 22 1
22 0 0
71 33 0
97 17 0
52 10 0
70 25 1
22 6 1
15 14 0
7 49 1
12 40 0
51 38 1
0 12 1
95 32 1
66 11 1
58 14 1
46 11 1
16 4 0
22 26 0
0 42 0
71 15 1
23 44 1
44 7 1
51 47 0
74 8 1
66 18 0
12 34 0
20 38 1
41 48 0
51 30 1
27 6 0
31 24 0
43 20 1
83 9 1
99 40 0
11 47 1
25 48 0
18 47 1
83 44 1
66 42 0
61 27 0
12 42 0
29 18 0
65 47 0
72 21 1
13 17 1
55 24 0
75 9 0
48 49 1
82 10 0
17 39 1
40 45 0
3 26 1
69 4 0
50 44 1
64 4 0
38 1 0
82 33 1
26 25 0
56 25 1
100 30 0
8 13 1
29 39 1
62 38 1
25 34 1
56 44 0
82 49 1
25 4 0
69 10 1
99 43 0
12 23 0
16 24 0
79 8 0
94 23 0
17 1 0
51 5 0
50 35 1
28 29 0
79 46 1
73 17 1
17 8 1
84 27 1
63 30 0
68 34 0
23 26 1
73 19 1
42 2 0
99 3 1
13 28 0
29 26 0
94 22 1
56 43 0
71 21 0
14 34 0
73 39 0
65 24 1
51 9 0
16 47 0
49 8 0
78 29 0
79 25 1
90 9 0
40 13 1
100 10 0
57 27 1
26 22 1
68 36 0
4 24 1
13 28 0
5 45 0
45 4 0
99 6 0
54 25 0
67 22 0
52 14 0
16 25 1
43 50 1
17 44 0
42 3 0
51 43 0
10 19 0
33 38 1
83 16 0
89 13 1
35 28 1
3 32 0
71 15 0
40 42 0
99 8 0
53 43 0
14 10 0
25 9 1
35 0 0
58 48 0
15 5 1
67 45 1
35 16 1
19 19 1
31 18 1
71 33 0
53 16 0
12 33 0
20 37 0
74 10 1
38 24 1
39 14 1
64 36 1
13 29 1
79 12 0
73 47 1
84 42 1
79 32 0
74 2 0
77 4 1
0 40 0
83 5 0
4 1 0
15 31 0
10 35 1
84 48 0
45 12 0
79 6 0
16 26 0
12 39 0
13 2 0
21 18 0
86 26 1
98 11 0
36 35 0
44 33 1
43 0 0
91 25 1
15 5 0
43 39 0
6 31 0
39 22 0
78 6 0
86 21 1
12 7 1
86 6 0
94 28 1
55 23 1
81 30 1
53 8 1
73 50 1
59 7 1
31 15 1
80 1 0
37 12 0
19 38 1
89 21 0
66 15 1
77 43 0
91 33 0
27 26 1
49 0 0
85 49 1
42 46 0
55 7 1
76 31 0
38 23 1
4 43 1
33 12 0
93 37 0
41 12 1
5 10 1
93 37 0
89 21 1
25 4 0
30 37 0
81 8 0
61 4 1
56 3 0
18 7 0
28 28 0
99 25 0
100 8 0
24 35 1
17 20 1
91 31 0
26 24 1
51 48 1
89 6 1
26 46 0
22 37 0
81 6 1
26 20 1
69 13 1
88 24 0
12 18 1
78 19 0
22 28 0
71 33 1
52 26 1
4 3 1
85 36 0
76 46 0
23 47 1
63 42 0
86 28 0
84 4 1
5 29 1
90 47 0
21 22 1
97 12 0
95 19 1
12 47 0
27 32 0
10 29 0
32 47 1
55 4 1
59 11 0
51 17 0
78 36 1
7 15 1
28 43 0
50 30 0
55 20 1
61 43 0
70 38 0
85 22 0
72 3 1
49 31 0
21 37 0
77 43 0
79 37 0
49 23 1
48 23 0
24 31 1
3 36 0
4 37 0
49 38 1
13 41 0
22 4 1
32 33 0
2 27 1
93 1 0
32 10 1
95 23 1
31 20 0
45 29 1
11 38 1
19 3 1
71 37 1
8 4 1
1 19 1
2 40 1
49 17 1
76 22 0
22 18 0
11 40 1
62 16 0
42 5 0
72 47 1
79 2 1
43 26 1
78 32 0
75 18 0
39 3 1
29 21 0
7 31 1
25 13 0
78 27 1
6 9 1
73 37 0
56 38 1
13 44 1
98 18 1
84 4 0
84 36 0
14 49 0
47 20 0
3 10 0
50 10 1
44 39 0
85 10 1
100 30 1
16 3 1
8 39 0
91 2 1
42 15 0
25 18 1
70 31 0
14 10 1
16 36 1
26 46 0
59 42 1
15 6 0
48 19 1
46 14 1
93 28 1
70 41 0
96 1 1
1 10 0
37 10 0
85 25 1
34 47 1
56 3 1
35 33 0
34 35 0
13 25 0
3 3 1
48 0 0
97 44 0
33 30 0
42 43 0
69 6 1
29 17 0
99 1 0
35 1 1
83 33 0
50 22 1
79 45 0
89 37 0
64 35 0
45 22 1
36 13 1
18 17 1
58 33 0
42 25 0
62 43 0
78 17 1
60 24 0
42 36 0
86 3 1
71 17 0
36 17 0
25 3 0
62 29 0
72 36 0
59 20 1
39 41 1
7 46 0
74 44 1
41 18 1
63 20 1
45 31 0
30 43 1
50 7 1
37 11 0
16 22 0
6 30 0
87 21 1
88 47 1
17 21 0
96 42 1
41 20 1
61 48 1
30 27 1
76 21 0
95 45 1
43 28 1
9 33 0
21 29 1
67 15 1
68 43 1
78 17 1
13 9 0
45 19 1
46 21 1
96 45 1
19 0 0
91 48 1
22 11 1
32 39 0
24 43 1
80 41 0
72 34 1
100 22 0
73 1 0
12 13 0
62 9 0
44 8 1
33 36 0
83 27 0
8 32 0
42 30 0
75 33 1
100 19 0
78 14 0
68 50 0
46 22 1
92 13 1
73 12 0
6 44 0
76 7 1
96 14 1
97 8 0
2 34 0
94 24 0
31 28 1
43 50 1
58 46 1
91 47 0
75 47 1
69 41 1
71 39 1
15 28 1
70 25 0
63 47 1
8 33 0
16 21 1
15 9 1
10 0 1
64 35 1
6 50 0
57 14 1
63 35 1
54 35 0
20 28 0
58 21 1
14 41 0
67 39 0
95 3 0
52 50 0
57 30 1
80 13 1
83 20 0
19 50 0
38 30 1
16 13 0
94 19 0
45 18 0
57 44 0
54 0 1
13 17 0
32 24 0
34 12 0
100 29 0
95 4 1
72 50 1
60 10 0
52 18 1
77 17 1
1 46 0
97 1 0
51 39 0
4 14 0
13 33 1
68 31 1
61 37 0
67 24 1
72 2 0
55 44 1
54 50 0
30 16 0
25 22 0
81 17 1
56 50 1
90 49 1
90 22 0
0 38 1
31 30 1
65 30 1
91 17 0
1 35 1
29 3 0
57 13 0
43 36 1
59 11 0
13 28 1
30 43 0
55 29 1
4 18 0
30 14 1
8 24 1
7 11 1
87 45 1
86 27 1
89 27 0
50 0 1
16 22 1
76 49 1
41 39 0
5 9 1
48 37 1
51 17 1
41 16 1
43 18 0
53 20 1
51 22 0
30 13 1
94 47 1
75 5 0
75 5 1
63 32 0
96 45 0
66 7 0
74 7 1
65 33 1
32 37 1
12 18 0
5 13 0
88 48 1
94 29 1
97 9 1
87 21 0
12 46 1
52 10 0
57 17 1
100 18 0
91 18 0
50 5 1
57 25 1
65 0 1
81 31 0
30 13 1
66 42 1
68 10 1
61 2 1
49 6 1
76 7 0
76 18 0
1 49 1
13 4 0
92 45 0
18 39 0
4 23 1
3 25 0
38 29 0
95 4 0
39 27 1
83 25 1
83 45 1
42 17 1
36 1 0
38 14 0
91 47 1
42 40 1
99 11 1
57 30 0
56 6 0
14 26 1
79 17 0
77 34 0
53 13 1
1 37 1
59 27 0
24 50 0
60 18 1
80 7 0
