4 21
38 43
100 50
32 38 0
0 28 1
78 33 1
37 13 1
81 0 1
58 15 1
96 19 0
69 12 1
69 43 1
9 32 1
12 26 0
38 11 1
14 36 1
97 1 1
5 26 1
87 43 0
55 29 0
56 1 1
75 1 0
45 13 1
52 50 0
52 27 0
11 6 0
6 23 1
35 26 0
52 26 0
22 50 1
12 50 1
12 38 1
79 39 1
61 6 0
69 44 1
10 19 0
78 16 1
9 13 1
16 27 1
76 21 0
9 36 0
15 43 1
5 12 1
69 7 1
27 9 0
42 31 0
24 30 0
5 26 0
97 34 0
91 21 0
60 31 0
90 9 0
85 28 1
97 9 1
72 24 1
64 7 1
24 19 0
84 40 1
53 15 1
52 19 1
73 28 0
19 28 0
91 11 0
91 37 1
39 15 1
12 49 0
87 44 0
36 33 0
99 35 1
41 19 0
8 37 1
76 43 1
72 36 0
76 44 1
100 28 0
24 16 0
78 14 0
62 12 1
71 3 0
67 31 1
40 31 1
36 22 1
59 35 0
37 46 1
88 36 0
91 29 0
41 37 1
15 43 1
6 50 0
69 20 0
25 46 1
33 2 1
60 18 0
49 26 0
96 26 0
5 31 0
86 42 1
49 15 1
94 0 1
35 29 0
5 39 1
35 39 0
90 3 0
29 39 1
93 10 1
25 9 1
75 5 0
70 40 1
88 24 1
1 6 1
14 0 0
62 7 1
8 37 0
61 13 1
85 17 1
74 27 0
53 8 0
77 49 1
73 27 0
36 3 1
9 4 0
4 42 0
19 24 0
4 49 1
89 34 0
89 24 1
78 45 0
50 34 1
42 37 0
99 44 1
92 42 0
93 30 1
99 48 1
96 1 1
20 22 0
96 48 1
68 7 1
65 42 0
46 43 0
45 38 1
83 7 0
37 41 0
57 36 1
38 29 1
51 27 0
62 1 1
42 46 1
90 15 0
8 35 0
73 3 1
1 30 1
77 33 1
55 13 1
12 50 0
63 19 1
60 49 0
24 10 1
21 14 1
6 40 0
13 19 0
12 28 0
35 3 1
86 45 0
83 28 1
59 31 0
15 22 0
69 46 0
91 33 1
78 35 0
1 37 1
94 47 1
65 46 0
64 41 1
89 50 1
38 32 1
11 3 0
0 41 1
61 7 0
46 8 1
54 41 0
52 15 0
30 19 1
14 3 1
58 25 0
23 50 1
91 37 1
60 42 1
14 21 1
69 22 0
86 20 0
70 44 0
94 39 0
74 0 1
79 13 1
22 5 1
87 0 1
32 38 1
37 27 1
72 11 0
32 14 0
45 46 1
14 22 0
21 40 0
25 10 1
8 44 1
68 30 1
8 40 1
85 4 1
22 11 1
46 16 0
54 24 1
84 36 1
88 18 1
77 23 1
10 6 0
28 31 1
52 1 1
1 40 0
69 37 0
67 20 1
3 36 0
55 34 0
59 46 0
39 39 1
78 45 0
16 29 1
23 49 1
18 49 0
89 40 0
6 9 1
46 8 0
53 0 0
4 6 0
14 7 1
54 9 0
97 23 1
77 24 1
21 46 0
3 39 1
48 28 1
61 46 0
32 14 1
79 0 1
31 39 0
4 26 0
76 45 1
68 9 0
62 41 1
84 16 1
41 17 1
54 49 0
90 28 0
66 11 0
17 23 0
49 25 1
23 4 0
46 37 1
54 45 0
6 35 1
33 35 1
45 3 1
35 47 1
53 3 1
24 21 0
19 21 1
4 19 0
90 12 1
51 21 1
32 48 0
11 0 1
49 44 0
67 19 0
94 33 1
75 40 1
74 4 1
50 16 1
37 47 1
8 4 1
38 40 1
98 5 1
82 8 1
84 46 0
29 13 1
71 30 1
27 8 1
83 21 1
6 41 0
60 28 1
72 16 1
17 3 1
95 0 1
66 19 0
48 10 1
45 27 0
56 26 1
13 1 1
50 45 1
9 45 1
77 31 1
52 44 0
27 3 1
29 28 0
11 13 0
75 49 0
8 42 1
99 31 0
74 46 1
33 14 0
17 32 1
18 9 1
62 49 0
0 1 0
79 14 1
59 11 0
90 26 1
52 6 0
57 38 0
79 9 1
17 38 0
79 50 0
69 9 0
39 14 0
64 30 0
41 12 0
4 48 1
33 45 0
25 14 1
44 6 1
66 16 0
27 49 0
53 35 0
92 32 0
13 7 1
62 20 1
14 16 1
98 34 0
81 47 0
48 29 1
45 26 0
86 13 0
35 42 0
84 48 1
38 33 1
74 7 0
84 20 1
88 36 1
51 32 1
56 48 1
68 50 0
85 28 0
33 40 0
81 11 0
97 16 0
28 8 1
8 46 0
75 8 1
