93 12
19 5
100 50
50 44 0
79 34 0
36 12 1
34 4 1
97 42 1
28 14 1
38 27 0
81 1 0
93 29 1
27 8 1
1 40 1
53 34 0
29 8 0
45 8 1
47 3 0
62 40 0
64 24 0
16 7 0
43 6 1
41 49 0
47 6 0
80 9 1
95 44 0
5 28 0
43 11 1
32 26 1
39 3 1
56 18 1
20 18 1
47 1 0
71 20 1
82 32 0
20 21 1
92 24 1
58 34 0
70 4 0
100 8 0
52 21 1
30 16 0
31 33 1
90 24 1
59 7 1
44 20 0
85 20 1
21 39 1
58 11 1
11 31 1
11 12 1
26 32 1
79 35 0
59 0 1
64 9 0
14 41 0
63 44 0
89 20 0
78 29 0
49 23 0
50 14 1
66 16 0
1 19 0
60 6 1
16 13 1
21 44 0
17 41 1
17 39 1
50 2 0
53 41 1
23 23 1
26 47 1
53 28 0
59 17 1
15 13 0
37 38 1
74 28 1
32 48 1
45 22 0
48 27 1
58 49 1
32 11 0
35 5 1
66 3 1
47 31 0
20 43 0
54 39 1
12 42 1
85 15 0
31 0 1
5 11 0
76 12 1
16 16 0
66 45 1
7 12 0
82 0 1
24 19 0
25 30 1
88 21 1
55 47 0
6 28 1
54 25 0
56 25 1
99 49 1
41 2 0
30 11 1
61 43 0
47 31 1
71 3 1
14 34 0
91 10 0
24 9 1
91 7 0
74 32 0
26 31 0
31 13 0
16 22 0
72 44 0
33 18 1
7 22 1
15 12 0
10 28 1
60 29 0
26 30 1
43 8 0
94 27 1
41 2 1
57 30 1
23 10 0
98 12 1
74 17 0
81 29 0
82 26 1
7 34 1
7 13 0
17 34 1
33 35 1
18 20 0
38 41 0
39 48 0
37 27 0
85 48 1
3 16 1
81 9 0
56 48 0
25 0 0
83 8 1
49 8 0
100 32 1
15 6 0
64 36 1
66 11 0
79 29 0
4 17 1
22 41 1
27 21 0
51 36 0
99 22 0
22 34 1
28 4 0
94 24 0
42 39 1
19 20 0
91 39 1
65 0 0
47 0 1
14 17 1
83 4 1
52 46 1
51 41 1
76 49 0
70 3 0
100 6 0
93 5 0
5 23 1
12 23 0
12 43 1
80 25 1
8 12 0
67 17 0
24 13 1
50 43 0
73 14 1
94 49 0
78 21 1
30 19 1
8 15 1
85 28 0
72 1 1
53 3 0
38 19 0
40 36 1
92 25 1
41 32 0
58 48 0
70 25 1
9 0 1
14 39 0
63 12 0
47 8 0
69 13 0
24 1 0
100 5 0
85 13 1
85 1 0
89 16 0
26 17 0
79 34 0
60 1 0
10 0 0
53 30 1
1 16 1
97 21 0
30 37 0
41 37 0
89 15 0
59 21 1
90 47 0
35 37 1
83 0 1
66 1 1
63 34 0
67 46 1
18 22 0
62 23 0
75 45 1
100 31 1
24 39 1
95 20 0
67 27 0
39 48 1
94 7 0
52 25 0
31 7 0
18 18 0
89 37 1
87 17 1
3 27 0
14 9 1
18 14 1
30 38 1
15 5 0
41 11 0
26 23 1
77 32 0
68 33 0
39 49 1
65 26 0
24 17 0
29 26 0
29 6 1
67 24 1
41 7 0
66 10 0
7 39 1
19 48 1
66 27 1
77 42 1
83 3 0
34 19 1
4 19 0
44 30 0
81 48 1
17 36 1
81 13 1
72 7 0
75 20 0
26 23 1
5 45 0
5 35 0
64 12 1
47 43 1
93 36 0
55 0 0
70 18 1
35 41 0
94 31 1
73 6 0
80 25 0
32 21 0
37 48 1
68 18 0
56 36 1
80 45 0
5 42 1
92 40 1
99 28 0
35 7 0
75 3 0
22 37 1
73 17 0
55 36 0
42 23 0
57 43 0
69 46 0
84 25 1
17 2 1
14 42 1
86 12 0
84 0 0
45 7 0
