40 3
25 23
100 50
73 38 1
41 34 1
21 9 1
41 37 1
100 2 0
6 33 1
35 43 0
99 3 1
1 23 1
71 44 1
79 11 1
35 29 0
36 44 0
15 21 1
51 16 0
77 21 1
16 14 1
13 33 0
24 16 1
65 45 1
64 11 0
86 32 0
0 10 0
57 19 0
95 26 0
2 43 1
92 24 0
66 22 1
7 26 1
38 9 1
20 11 1
20 10 1
52 42 0
74 2 1
64 49 0
39 50 1
3 5 0
68 34 1
76 11 0
57 22 0
39 13 1
51 6 1
94 19 0
83 48 0
57 30 0
17 31 0
62 38 0
91 46 1
84 9 1
84 36 0
88 41 0
88 35 0
51 17 1
24 37 1
9 41 1
18 34 0
57 10 1
23 43 1
5 2 1
42 32 0
33 19 0
15 15 1
18 42 0
93 21 0
71 25 1
20 22 0
72 22 0
45 47 0
55 12 0
95 18 0
39 22 1
24 12 1
86 44 1
81 29 1
10 46 1
62 39 1
75 11 1
97 41 1
44 43 1
4 10 1
98 2 1
10 41 1
25 33 1
66 7 0
30 1 0
29 18 0
55 35 1
26 36 0
34 45 0
39 37 0
98 19 1
59 2 1
6 26 1
37 37 0
3 24 1
4 20 1
1 1 1
35 26 1
41 8 1
63 11 1
95 48 1
94 44 1
60 18 0
3 49 0
83 32 0
20 3 1
3 13 1
12 1 0
55 49 1
88 32 0
66 21 0
83 35 0
43 38 1
15 45 1
24 33 0
37 22 0
85 1 1
35 44 0
7 33 0
93 32 1
84 12 0
68 32 0
90 17 0
33 23 0
51 17 1
66 30 0
63 36 1
94 44 1
97 11 1
74 12 1
17 11 1
4 32 0
89 28 0
84 43 1
61 39 0
1 7 1
32 10 0
80 35 0
32 9 1
16 16 1
42 7 0
42 12 0
17 24 1
70 16 1
47 49 0
87 43 0
19 2 1
61 38 0
80 49 0
21 4 1
34 20 0
51 6 0
98 40 0
52 40 1
37 7 0
40 21 0
75 20 0
29 46 1
37 4 1
76 31 1
34 30 1
16 15 0
35 45 0
93 43 0
59 38 0
66 46 1
100 12 1
19 43 0
61 41 0
78 7 0
3 15 1
10 18 0
67 21 1
38 25 1
8 1 1
8 48 0
91 8 1
88 6 0
44 47 0
17 7 1
24 32 0
70 47 1
39 43 0
84 5 0
65 34 1
15 25 1
94 50 0
34 8 0
56 15 1
37 31 1
43 29 1
7 38 0
3 45 0
13 3 1
49 20 1
38 27 0
21 27 1
6 42 1
7 35 1
51 37 0
67 7 1
87 48 0
93 10 0
45 13 0
69 12 0
85 8 0
72 35 0
28 46 0
26 30 1
29 40 1
3 36 1
94 30 0
42 10 0
13 13 1
17 32 0
99 8 0
40 19 0
58 28 0
65 48 0
34 29 0
63 39 1
78 10 1
79 17 1
51 33 0
81 36 1
70 45 1
16 28 0
96 13 1
100 39 0
54 43 0
45 2 0
12 1 0
2 3 0
40 8 0
4 38 0
47 9 1
53 50 1
76 47 0
69 47 0
44 39 0
27 14 1
33 19 1
84 48 1
3 20 1
96 19 0
51 2 0
31 17 0
19 26 1
72 39 0
44 39 1
21 4 0
4 23 1
87 37 1
37 47 0
1 38 1
60 28 1
95 27 1
1 42 0
100 28 0
71 17 0
50 0 0
93 35 0
50 43 1
87 21 1
15 8 1
11 11 0
39 48 1
93 34 1
90 14 1
30 46 1
0 21 1
70 45 0
71 45 0
25 15 0
66 1 0
11 7 0
83 46 0
66 19 1
49 44 0
41 47 0
63 9 1
4 24 1
62 33 0
28 48 0
33 33 1
69 12 1
8 45 0
5 48 0
20 48 1
21 34 1
16 45 1
55 13 1
41 6 1
72 49 1
3 8 1
91 8 0
57 0 0
53 34 0
5 26 0
18 6 1
96 8 0
12 32 1
65 4 1
63 45 0
43 33 0
11 48 0
9 49 0
82 43 0
24 35 1
39 6 0
54 16 1
36 49 0
89 16 0
30 6 1
50 27 0
19 42 0
25 16 1
26 21 0
95 46 1
95 11 0
57 49 0
50 35 0
46 50 1
38 15 0
77 29 1
56 26 0
94 13 1
42 26 1
66 11 1
29 32 1
99 25 0
85 1 1
76 46 1
53 24 1
67 13 1
6 2 0
19 35 0
88 4 1
87 12 1
40 0 0
43 25 0
38 17 0
58 40 0
0 41 1
10 9 0
67 0 1
70 11 1
21 27 1
43 16 0
21 46 1
76 48 1
14 34 1
55 35 1
24 13 1
15 38 1
13 6 0
79 44 0
33 25 0
41 3 0
79 46 1
44 30 1
12 3 0
57 39 1
48 3 1
73 42 0
36 11 0
95 10 1
46 20 1
100 42 0
55 27 1
94 36 0
51 35 0
39 16 1
76 0 0
43 43 1
0 24 0
31 13 0
69 9 0
76 4 1
24 39 0
22 37 1
28 7 0
70 36 1
18 32 1
25 31 1
62 27 0
67 5 0
7 10 1
74 45 0
58 48 0
