21 3
60 27
100 50
24 49 1
79 10 0
8 11 1
30 8 1
57 10 0
63 7 1
3 1 0
59 36 1
35 24 1
48 36 0
26 20 0
11 27 0
84 44 1
60 25 0
99 8 1
75 22 0
19 20 1
46 33 1
79 33 0
17 22 0
96 3 1
17 42 0
72 3 1
10 29 1
52 23 0
98 33 0
100 31 1
90 44 0
17 41 1
89 43 0
57 27 0
37 34 0
69 11 0
13 24 0
4 16 0
80 10 0
35 23 1
26 28 1
64 4 0
3 14 1
96 48 0
61 29 1
31 32 1
15 41 1
2 43 0
13 11 1
75 48 1
78 29 1
97 50 1
19 11 1
100 15 1
78 12 0
48 31 1
69 48 0
64 5 1
27 29 1
55 26 1
15 49 1
23 9 1
55 36 0
57 47 0
45 24 0
19 44 0
34 31 1
87 38 0
74 3 1
12 5 1
63 42 0
79 36 0
61 15 0
30 27 0
76 9 1
85 0 0
79 25 0
79 11 1
82 21 1
43 39 0
74 26 0
14 30 1
61 40 1
50 7 0
10 41 1
64 36 0
95 3 0
81 39 1
73 3 1
28 49 0
56 31 1
77 25 0
13 32 0
49 10 1
95 26 0
12 13 1
64 16 0
59 37 1
8 1 1
28 3 1
92 49 0
51 37 1
38 22 1
32 5 1
28 4 0
30 37 1
39 40 0
27 40 1
79 17 0
25 44 1
87 23 1
95 19 0
64 7 1
79 11 0
19 19 1
27 16 1
37 12 1
77 8 1
0 47 0
78 50 0
79 23 1
74 20 1
14 35 0
66 17 0
95 37 0
5 44 0
42 16 0
31 38 0
64 11 1
62 13 0
35 47 0
33 48 0
58 26 0
4 37 1
80 22 1
41 1 1
88 20 0
7 16 1
15 38 1
18 11 1
64 9 0
34 12 0
43 4 0
15 49 1
99 34 1
57 29 0
61 13 0
46 8 1
76 50 1
36 40 0
36 38 1
60 33 0
99 47 1
64 9 1
25 43 1
36 49 1
26 45 0
69 49 0
78 41 1
85 47 0
69 32 1
66 40 0
16 17 0
69 45 1
57 27 0
71 11 0
50 46 0
19 48 0
31 47 1
56 34 1
18 40 0
60 13 1
71 0 1
26 31 0
52 17 0
3 14 1
54 2 1
5 26 0
4 8 1
50 0 1
99 50 1
92 16 0
41 46 1
7 15 0
100 18 0
94 10 0
96 31 0
49 28 0
87 27 1
53 7 0
16 45 1
58 44 1
88 29 1
58 33 1
29 43 0
99 19 1
31 38 0
79 40 1
44 5 1
82 24 1
67 6 0
46 2 0
79 12 1
31 33 1
64 36 1
29 30 0
55 26 0
56 14 0
77 24 1
63 27 1
56 28 1
12 47 0
9 27 1
27 38 0
40 14 0
90 42 1
45 41 1
64 37 0
72 34 0
7 31 0
8 49 0
53 0 1
100 30 0
43 44 0
93 21 1
41 0 0
58 16 0
3 29 0
29 16 1
71 47 1
8 2 1
69 15 0
60 13 1
77 35 1
84 2 0
100 12 0
5 39 1
71 25 1
85 33 0
75 17 0
81 31 0
22 41 0
89 40 1
90 46 1
18 20 0
19 36 0
35 16 1
9 37 0
23 1 1
53 38 1
9 26 0
28 20 1
12 43 1
58 31 1
75 46 0
72 45 1
100 38 1
87 41 0
20 4 1
42 50 0
81 20 1
11 30 0
1 0 0
78 1 0
55 35 1
29 14 0
14 37 1
74 26 1
56 39 0
46 3 1
84 1 1
60 39 0
7 29 0
32 48 0
75 6 0
44 40 1
34 6 1
5 16 0
80 19 1
66 28 0
51 35 0
98 35 1
6 48 1
100 16 0
33 24 0
47 38 0
72 44 0
19 44 0
49 13 0
39 9 0
19 1 0
19 6 0
98 9 1
74 2 0
23 28 0
65 49 0
18 29 1
40 26 1
21 44 1
88 47 0
49 3 0
78 38 0
21 45 0
11 12 1
85 22 1
78 6 1
18 2 1
19 49 1
30 31 1
85 4 1
52 10 0
17 5 1
74 7 1
55 21 0
21 0 0
9 14 0
39 7 0
11 17 0
65 11 0
23 6 1
69 27 0
86 10 0
95 50 0
54 34 0
73 42 1
73 31 0
28 7 0
63 13 1
15 20 0
46 22 0
53 49 1
58 24 0
61 20 0
86 3 0
77 9 1
17 7 1
54 50 0
55 45 1
19 40 0
30 21 0
98 32 0
35 13 0
15 13 0
48 2 1
65 48 1
93 39 0
12 3 1
78 23 0
95 8 0
73 28 1
64 19 1
35 0 0
20 45 0
85 49 1
97 29 1
37 40 1
86 12 0
98 23 0
99 6 1
32 38 1
34 13 1
70 18 1
25 18 1
71 1 0
28 18 0
43 6 1
11 35 0
34 3 1
46 12 1
41 17 0
85 0 1
28 44 0
54 22 0
65 16 1
32 38 0
73 9 1
99 23 0
63 45 0
19 28 1
63 22 0
67 28 0
7 46 0
81 19 1
85 50 0
52 11 1
28 7 1
11 45 1
96 6 1
72 1 1
8 28 0
3 6 0
14 4 1
22 38 1
93 3 0
78 26 1
47 43 1
83 29 1
14 7 1
92 33 0
27 33 1
70 31 0
3 30 0
64 40 1
78 25 1
39 41 0
87 12 1
37 39 0
46 41 1
94 39 0
4 12 1
79 36 1
66 49 1
7 34 1
24 50 0
58 24 1
9 29 0
23 27 0
17 3 1
60 42 0
29 30 1
91 41 0
4 9 0
83 21 1
45 43 1
55 13 0
89 7 0
16 35 1
29 33 0
67 27 0
86 45 1
36 18 0
63 3 1
38 15 0
27 10 1
89 39 1
64 3 1
60 17 1
54 44 1
52 49 1
68 14 0
6 6 1
95 13 1
90 17 1
22 23 0
24 25 0
22 14 1
38 11 0
23 37 0
56 43 1
32 38 1
60 17 1
20 42 1
54 40 0
47 16 1
2 11 0
62 47 1
55 25 1
27 16 1
64 44 1
14 22 0
100 31 1
50 6 0
92 20 0
88 41 0
52 32 0
83 32 0
11 44 0
29 36 1
47 29 1
32 37 1
67 33 0
95 37 1
5 7 0
40 30 0
88 6 0
78 3 1
44 44 0
47 4 1
92 50 0
58 0 1
73 9 0
79 21 1
48 23 1
8 2 1
35 13 1
88 45 0
79 45 1
88 24 1
52 3 0
58 23 1
81 27 0
16 5 1
44 39 0
80 2 1
74 50 1
71 6 0
45 10 1
5 38 1
8 28 0
20 41 1
7 36 1
33 48 1
71 41 0
86 5 0
81 11 1
45 27 0
64 9 1
21 6 1
8 33 1
10 18 1
55 50 1
94 35 1
73 17 0
59 47 0
45 21 1
35 6 1
74 5 0
47 14 0
12 12 0
65 44 1
65 29 0
70 17 0
28 31 1
88 40 0
82 14 1
6 10 0
79 13 1
99 6 1
28 44 0
99 43 1
20 29 1
77 47 0
86 44 0
91 12 1
20 37 1
41 26 0
50 45 1
49 48 0
26 7 0
94 37 0
26 38 1
93 41 0
71 20 1
3 1 0
24 46 0
6 2 0
24 46 0
100 32 0
49 25 1
86 17 1
76 41 0
7 13 1
56 49 0
76 39 1
57 1 1
73 24 1
23 13 0
0 20 0
3 39 0
79 10 0
16 19 0
42 16 1
45 14 1
58 29 1
36 10 0
87 0 0
62 6 1
86 19 0
46 6 1
11 7 1
63 29 0
8 41 1
79 1 1
2 46 0
47 25 1
58 44 0
6 4 1
28 5 0
88 41 0
45 41 1
51 4 1
18 2 0
47 13 0
32 38 0
17 10 0
76 31 0
60 10 1
16 8 0
15 12 0
69 34 0
5 5 1
6 3 1
47 30 0
96 23 0
69 10 0
53 24 0
23 4 1
