97 40
23 7
100 50
7 7 1
11 42 0
60 6 0
55 11 0
65 30 0
91 38 1
42 8 1
24 36 1
17 31 0
70 34 0
49 38 1
78 15 1
79 22 1
13 24 1
82 3 1
91 33 0
23 29 1
35 50 1
22 13 1
75 20 0
4 1 0
63 35 0
66 31 0
67 41 0
44 11 1
70 40 0
75 6 0
88 22 0
26 0 0
84 28 1
90 30 0
27 11 1
84 50 0
53 19 0
61 7 1
69 8 0
77 47 0
97 23 0
7 37 0
46 4 1
60 27 1
6 1 1
40 46 0
93 34 0
41 2 0
14 15 1
90 22 0
31 3 0
74 17 0
0 31 1
7 43 0
48 22 0
39 3 0
94 44 1
92 9 1
50 14 0
5 43 1
87 40 0
64 16 0
2 17 0
59 33 1
45 41 0
39 35 0
34 3 1
48 47 1
49 13 1
38 1 0
13 48 0
53 46 0
98 11 0
40 1 1
81 30 0
63 45 0
54 0 0
42 42 1
87 42 1
37 21 1
86 13 0
34 23 1
73 31 1
51 0 0
46 17 1
87 36 0
39 7 0
36 13 1
90 6 1
23 5 1
32 3 1
60 49 0
36 21 0
70 36 0
93 28 0
7 20 0
69 27 1
60 46 1
27 6 0
84 46 1
88 23 1
68 38 0
57 15 1
40 15 0
72 5 0
84 21 1
19 25 0
3 15 0
24 5 1
26 16 0
99 47 1
29 50 1
90 43 0
14 18 1
88 7 0
31 22 0
56 37 1
50 27 1
81 39 1
5 43 1
44 22 0
59 26 0
15 44 1
97 48 0
73 26 1
57 7 1
34 48 0
68 36 1
0 7 0
98 18 1
98 37 1
80 41 0
18 40 0
54 24 1
54 13 1
76 0 1
61 10 1
81 31 0
95 9 0
86 38 0
78 13 0
78 28 1
57 40 1
1 1 1
76 7 1
74 12 0
44 49 0
61 30 0
62 49 0
82 14 0
79 14 0
58 26 1
67 26 1
45 2 0
50 15 1
28 30 1
65 25 0
74 50 0
33 12 1
60 33 1
73 38 1
82 29 1
49 3 0
80 16 1
11 27 0
92 4 1
4 27 1
0 33 1
64 22 1
9 40 0
74 20 0
70 29 1
32 41 1
56 12 1
54 34 1
80 1 0
